Qingxiang Wang and Cezary Kaliszyk and Josef Urban;First Experiments with Neural Translation of Informal to Formal Mathematics;10.1007/978-3-319-96812-4\_22;255--270;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings, 2018;
;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings;10.1007/978-3-319-96812-4;;Lecture Notes in Computer Science, 2018, 11006, Springer;
Jan Jakubuv and Josef Urban;Enhancing {ENIGMA} Given Clause Guidance;10.1007/978-3-319-96812-4\_11;118--124;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings, 2018;
;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings;10.1007/978-3-319-96812-4;;Lecture Notes in Computer Science, 2018, 11006, Springer;
Grzegorz Bancerek and Adam Naumowicz and Josef Urban;System Description: XSL-Based Translator of Mizar to LaTeX;10.1007/978-3-319-96812-4\_1;1--6;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings, 2018;
;Intelligent Computer Mathematics - 11th International Conference, {CICM} 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings;10.1007/978-3-319-96812-4;;Lecture Notes in Computer Science, 2018, 11006, Springer;
Zarathustra Goertzel and Jan Jakubuv and Stephan Schulz and Josef Urban;ProofWatch: Watchlist Guidance for Large Theories in {E};10.1007/978-3-319-94821-8\_16;270--288;Interactive Theorem Proving - 9th International Conference, {ITP} 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 9-12, 2018, Proceedings, 2018;
;Interactive Theorem Proving - 9th International Conference, {ITP} 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 9-12, 2018, Proceedings;10.1007/978-3-319-94821-8;;Lecture Notes in Computer Science, 2018, 10895, Springer;
Bartosz Piotrowski and Josef Urban;ATPboost: Learning Premise Selection in Binary Setting with {ATP} Feedback;10.1007/978-3-319-94205-6\_37;566--574;Automated Reasoning - 9th International Joint Conference, {IJCAR} 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 14-17, 2018, Proceedings, 2018;
;Automated Reasoning - 9th International Joint Conference, {IJCAR} 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 14-17, 2018, Proceedings;10.1007/978-3-319-94205-6;;Lecture Notes in Computer Science, 2018, 10900, Springer;
Jan Jakubuv and Josef Urban;Hierarchical invention of theorem proving strategies;10.3233/AIC-180761;237--250;{AI} Commun., 2018, 31;
